,City,Country,Cloudiness,Date,Humidity,Latitude,Longitude,Maximum Temp,Wind Speed
79,Porto Belo,BR,100,1570568400,89,-27.1543,-48.5425,76.57,3.13
80,Port Alfred,ZA,0,1570568400,84,-33.5906,26.891,61.36,6.81
81,Cherskiy,RU,100,1570568400,95,68.75,161.3,14.09,7.57
82,Lompoc,US,0,1570568400,51,34.6392,-120.458,68.51,15.98
83,Yellowknife,CA,100,1570568400,55,62.4541,-114.3774,33.57,19.59
84,Punta Arenas,CL,100,1570568400,75,-53.1627,-70.9081,42.33,24.27
85,Bluff,AU,0,1570568400,29,-23.58,149.0661,69.42,10.05
86,Saskylakh,RU,86,1570568400,95,71.965,114.0939,16.09,8.85
87,Quatre Cocos,MU,8,1570568400,77,-20.2078,57.7625,71.24,14.76
88,Luderitz,NA,0,1570568400,77,-26.6481,15.1594,58.68,32.14
89,Mar del Plata,AR,77,1570568400,36,-46.4276,-67.5191,58.21,14.18
90,Lasa,CY,43,1570568400,87,34.9245,32.5278,70.3,4.34
91,Longyearbyen,NO,99,1570568400,88,78.2198,15.6349,35.53,3.31
92,Bassar,TG,37,1570568400,97,9.262,0.779,71.44,3.74
93,Marzuq,YE,0,1570568400,57,14.4,46.4667,73.37,5.79
94,Hasaki,JP,99,1570568400,71,35.7333,140.8333,67.89,31.35
95,Severo-Yeniseyskiy,RU,40,1570568400,98,60.3725,93.0408,25.74,2.37
96,Tadine,NC,0,1570568400,68,-21.55,167.8833,74.61,12.51
97,Mahebourg,MU,8,1570568400,77,-20.4081,57.7,71.26,14.76
98,Hirara,JP,7,1570568400,82,24.8,125.2833,78.66,22.41
99,Constitucion,MX,12,1570568400,47,23.9912,-104.675,72.36,8.14
100,Nacala,MZ,0,1570568400,89,-14.5565,40.687,73.11,3.39
101,Poum,MK,17,1570568400,87,41.2813,20.7117,51.58,4.72
102,Esperance,AU,100,1570568400,57,-33.8583,121.8932,61.67,19.36
103,Geraldton,CA,0,1570568400,55,49.7189,-86.9494,60.96,18.43
104,Coahuayana,MX,65,1570568400,68,18.6201,-100.3453,85.06,2.53
105,Qaqortoq,GL,100,1570568400,93,60.7167,-46.0334,38.52,10.63
106,Codrington,AU,0,1570568400,46,-28.9484,153.2428,62.01,3.98
107,Khandbari,NP,32,1570568400,83,27.3778,87.2081,48.69,3.2
108,Kahului,US,39,1570568400,75,20.8894,-156.4728,79.47,14.85
109,Plettenberg Bay,ZA,7,1570568400,82,-34.0528,23.3716,60.12,6.36
110,Bhainsdehi,IN,0,1570568400,71,21.6454,77.6314,66.76,2.71
111,Srednekolymsk,RU,82,1570568400,87,67.4555,153.7071,10.13,5.24
112,Albanel,CA,26,1570568400,59,48.8837,-72.4425,53.85,3.74
113,Narsaq,GL,100,1570568400,96,60.9127,-46.0453,38.26,7.53
114,Tasiilaq,GL,100,1570568400,56,65.6145,-37.6368,44.51,7.02
115,Lahat,ID,74,1570568400,82,-3.7833,103.5452,67.32,2.7
116,Sabzevar,IR,0,1570568400,24,36.2134,57.6809,64.04,6.04
117,Cairns,AU,50,1570568400,39,-16.9205,145.7719,68.02,1.81
118,Hofn,IS,100,1570568400,89,64.2539,-15.2082,47.39,35.6
119,Te Anau,NZ,100,1570568400,97,-45.4145,167.7175,46.35,1.76
120,Olga,US,0,1570568400,55,34.1125,-118.1657,75.2,8.34
121,Isangel,VU,58,1570568400,80,-19.55,169.2667,73.2,14.1
122,Nizhyn,UA,100,1570568400,54,51.0465,31.8806,44.28,11.56
123,Cape Town,ZA,67,1570568400,70,-33.929,18.4174,59.76,6.35
124,Bethel,US,30,1570568400,67,60.7922,-161.7559,48.67,15.41
125,Chuy,UY,0,1570568400,70,-33.6938,-53.4562,64.73,5.56
126,Bilma,NE,60,1570568400,28,18.6929,12.9187,90.97,2.1
127,Hokitika,NZ,100,1570568400,99,-42.7179,170.9646,54.72,12.19
128,Oktyabrskiy,RU,50,1570568400,85,55.6086,37.9744,34.3,8.7
129,Laela,TZ,86,1570568400,40,-8.5725,32.047,69.08,6.82
130,Fortuna,US,2,1570568400,83,40.5974,-124.1561,60.55,22.3
131,Stokmarknes,NO,98,1570568400,56,68.5646,14.9108,43.42,9.22
132,Beringovskiy,RU,48,1570568400,68,63.05,179.3167,31.91,16.82
133,Rio Gallegos,AR,100,1570568400,54,-51.6227,-69.2182,48.96,35.25
134,Weyburn,CA,100,1570568400,76,49.6694,-103.8511,53.44,6.42
135,Romny,UA,100,1570568400,60,50.7421,33.4877,42.49,12.12
136,Aksarka,RU,98,1570568400,91,66.5606,67.7975,33.67,9.28
137,Avarua,CK,100,1570568400,67,-21.2078,-159.775,72.97,18.87
138,Cidreira,BR,100,1570568400,83,-30.1658,-50.2184,65.93,13.99
139,Talnakh,RU,0,1570568400,69,69.494,88.3908,18.25,5.16
140,Nalut,LY,58,1570568400,79,31.8642,10.983,64.17,15.84
141,Ghanzi,BW,0,1570568400,13,-21.699,21.6452,75.0,5.64
142,Nouadhibou,MR,0,1570568400,63,20.931,-17.0347,75.26,19.36
143,Raudeberg,NO,100,1570568400,79,61.9875,5.1352,49.21,11.37
144,Wajid,SO,91,1570568400,66,3.8093,43.2471,79.29,10.7
145,Senneterre,CA,0,1570568400,56,48.3905,-77.2429,54.31,5.97
146,Ponta do Sol,BR,100,1570568400,80,-20.6335,-45.9989,71.3,1.99
147,Kargasok,RU,100,1570568400,84,59.0598,80.8709,35.78,4.32
148,Bredasdorp,ZA,74,1570568400,82,-34.5331,20.0428,57.96,12.05
149,Brae,GB,99,1570568400,88,60.3964,-1.353,51.64,19.88
150,Matamoros,US,48,1570568400,65,25.8705,-97.5067,86.7,11.21
151,Petropavlovsk-Kamchatskiy,RU,35,1570568400,79,53.0452,158.6483,43.62,3.78
152,Kavieng,PG,4,1570568400,73,-2.5745,150.7967,84.81,11.95
153,Agadez,NE,35,1570568400,42,16.9726,7.9907,87.83,14.63
154,Taksimo,RU,100,1570568400,78,56.3555,114.838,20.32,6.31
155,Norman Wells,CA,10,1570568400,51,65.2824,-126.8328,34.11,5.03
156,Huanren,CN,0,1570568400,57,41.2647,125.3667,36.5,4.43
157,Naze,NG,100,1570568400,98,5.4333,7.0667,73.98,4.41
158,Los Llanos de Aridane,ES,5,1570568400,79,28.6585,-17.9183,72.18,8.0
159,Chokurdakh,RU,92,1570568400,98,70.6192,147.9022,8.73,3.44
160,Castro,CL,96,1570568400,86,-42.4824,-73.7644,48.18,3.6
161,Sabana de Torres,CO,30,1570568400,69,7.3939,-73.4999,86.94,3.27
162,Kununurra,AU,16,1570568400,57,-15.7731,128.7388,74.84,2.33
163,Rogers,US,0,1570568400,43,36.332,-94.1186,71.42,5.91
164,Pangnirtung,CA,95,1570568400,95,66.149,-65.7179,35.87,1.93
165,Westport,US,100,1570568400,57,41.1415,-73.3579,60.94,5.86
166,Barrow,AR,0,1570568400,48,-38.3131,-60.2291,62.28,5.5
167,Buri,BR,67,1570568400,80,-23.7985,-48.599,66.2,9.16
168,Saint George,GR,86,1570568400,82,39.4548,22.34,59.15,2.33
169,Praya,ID,52,1570568400,71,-8.7054,116.2704,73.58,1.47
170,Umea,SE,78,1570568400,92,63.8284,20.2597,33.62,3.89
171,Taiyuan,CN,100,1570568400,51,37.8562,112.5562,53.97,2.82
172,Zaraza,VE,78,1570568400,82,9.3503,-65.325,84.24,4.72
173,Leningradskiy,RU,100,1570568400,97,69.3833,178.4167,33.55,23.73
174,Panguipulli,CL,100,1570568400,50,-39.642,-72.3334,59.45,3.22
175,Puerto Escondido,MX,1,1570568400,68,15.8624,-97.0717,85.2,7.61
176,Fountain Hills,US,0,1570568400,16,33.6117,-111.7174,93.56,9.66
177,Fort Nelson,CA,0,1570568400,33,58.8063,-122.694,38.11,9.15
178,Hithadhoo,MV,4,1570568400,72,-0.6,73.0833,81.81,7.23
179,Saint Anthony,US,99,1570568400,23,43.9663,-111.6822,63.79,22.8
180,Eau Claire,US,42,1570568400,56,44.8113,-91.4985,67.17,15.3
181,Dikson,RU,33,1570568400,91,73.5069,80.5464,19.47,13.15
182,Ca Mau,VN,100,1570568400,90,9.1792,105.1458,76.33,3.51
183,Smithers,CA,87,1570568400,60,54.783,-127.1703,35.53,3.49
184,Ledyard,US,100,1570568400,56,41.4386,-72.0176,62.25,6.02
185,La Ronge,CA,100,1570568400,47,55.1004,-105.3013,37.41,14.97
186,La Plata,AR,0,1570568400,41,-34.9207,-57.9538,72.79,7.47
187,Kamaishi,JP,55,1570568400,80,39.2793,141.864,42.93,22.37
188,Villa Carlos Paz,AR,21,1570568400,40,-31.4211,-64.4993,76.6,9.06
189,Vranovice,CZ,100,1570568400,91,49.8454,13.5544,52.93,13.73
190,Dunedin,NZ,100,1570568400,83,-45.874,170.5035,51.75,4.83
191,Limbdi,IN,0,1570568400,60,22.5674,71.8062,81.19,5.19
192,Baruun-Urt,MN,0,1570568400,50,46.6808,113.2846,44.26,14.1
193,Medina del Campo,ES,67,1570568400,56,41.3085,-4.9151,66.78,7.63
194,Khammam,IN,100,1570568400,93,17.2465,80.15,74.26,3.58
195,Beitbridge,ZA,0,1570568400,26,-22.2101,29.9925,82.62,19.4
196,Jacaltenango,GT,82,1570568400,95,15.6673,-91.715,64.22,3.0
197,Trossingen,DE,62,1570568400,89,48.0751,8.6363,59.7,12.97
198,Laguna,BZ,100,1570568400,52,16.1684,-88.941,89.69,5.81
199,Iqaluit,CA,100,1570568400,88,63.7494,-68.5219,40.55,1.32
200,Buala,SB,85,1570568400,79,-8.1456,159.593,81.45,4.08
201,Tautira,PF,100,1570568400,84,-17.7334,-149.15,77.81,22.73
202,Semey,KZ,0,1570568400,74,50.405,80.2492,52.16,7.11
203,Elverum,NO,100,1570568400,99,60.883,11.5602,34.14,3.74
204,Konstantinovka,UA,62,1570568400,60,46.8521,29.8466,44.37,11.3
205,Vestmannaeyjar,IS,91,1570568400,85,63.4427,-20.2734,49.77,7.7
206,Port Hardy,CA,0,1570568400,53,50.6996,-127.4199,51.28,6.15
207,Stephenville,CA,48,1570568400,90,48.5452,-58.5872,48.6,13.82
208,Lalmohan,BD,65,1570568400,86,22.3384,90.7419,76.96,1.61
209,Sibu,MY,100,1570568400,91,2.2907,111.8263,75.21,2.57
210,Sechura,PE,100,1570568400,92,-5.5576,-80.8224,61.56,19.48
211,Caravelas,BR,0,1570568400,84,-17.7297,-39.2661,73.6,10.04
212,Fairview,CA,100,1570568400,35,56.0671,-118.381,33.74,12.93
213,Victoria,BN,100,1570568400,73,5.2785,115.2423,83.13,7.76
214,San Quintin,PH,0,1570568400,85,17.5427,120.5203,71.65,4.16
215,Rio Grande,BR,0,1570568400,69,-32.0335,-52.0992,73.85,7.57
216,Khatanga,RU,18,1570568400,92,71.9801,102.4743,16.61,5.55
217,Mikhaylovka,RU,100,1570568400,73,52.9601,103.2885,35.48,12.64
218,Makat,KZ,67,1570568400,49,47.6469,53.3463,51.39,4.43
219,Kautokeino,NO,97,1570568400,97,69.0125,23.0412,27.48,7.38
220,Uberaba,BR,100,1570568400,77,-19.7509,-47.9367,73.94,11.81
221,Yangambi,CD,98,1570568400,99,0.7658,24.4734,68.58,1.45
222,Sokoni,CD,79,1570568400,33,-12.8902,28.7793,74.36,1.89
223,Marawi,PH,45,1570568400,96,8.0035,124.2866,71.82,2.84
224,La Romana,DO,100,1570568400,80,18.4273,-68.9735,83.65,8.86
225,Amuntai,ID,38,1570568400,82,-2.4197,115.254,73.99,2.01
226,Turukhansk,RU,86,1570568400,90,65.7954,87.9608,31.12,3.51
227,Souillac,FR,98,1570568400,93,45.6006,-0.6,56.39,4.28
228,High Level,CA,100,1570568400,45,58.5167,-117.1334,35.85,11.59
229,Adrar,DZ,0,1570568400,22,27.8734,-0.2875,79.11,16.47
230,Vredendal,ZA,0,1570568400,85,-31.6795,18.4922,57.2,8.59
231,Sisimiut,GL,10,1570568400,54,66.9395,-53.6735,29.5,2.83
232,Lavrentiya,RU,100,1570568400,99,65.5842,-170.989,33.3,3.58
233,Monroe,US,0,1570568400,49,41.9145,-83.3969,67.35,6.24
234,Nuuk,GL,0,1570568400,72,64.175,-51.7356,39.02,2.55
235,Carnarvon,ZA,0,1570568400,33,-30.9678,22.1333,60.44,13.6
236,Sarapulka,RU,100,1570568400,84,56.8678,61.0552,43.34,2.23
237,Husavik,CA,1,1570568400,54,50.5623,-96.9949,67.84,15.02
238,Namibe,AO,100,1570568400,89,-15.1902,12.1531,66.92,7.77
239,Atbasar,KZ,0,1570568400,55,51.811,68.3626,52.43,7.3
240,Wajir,KE,67,1570568400,57,1.7497,40.0663,83.65,21.21
241,Mathbaria,BD,97,1570568400,93,22.2876,89.9593,75.61,1.45
242,Jose Bonifacio,BR,74,1570568400,60,-21.0528,-49.6884,79.44,4.14
243,Black River,JM,100,1570568400,70,18.027,-77.8483,88.21,19.64
244,Aklavik,CA,75,1570568400,49,68.2183,-135.0136,33.27,5.68
245,San,ML,100,1570568400,31,13.2991,-4.8983,87.42,9.86
246,Camocim,BR,50,1570568400,59,-2.9006,-40.8429,80.92,13.47
247,Hue,VN,1,1570568400,94,16.4691,107.5778,77.43,2.84
248,Bubaque,GW,95,1570568400,84,11.2833,-15.8334,79.27,11.52
249,San Lorenzo,HN,100,1570568400,71,13.4291,-87.4477,87.59,3.25
250,Ostrovnoy,RU,100,1570568400,98,68.0544,39.5129,38.01,14.43
251,Zheshart,RU,100,1570568400,76,62.09,49.5888,34.32,12.46
252,Georgetown,GY,100,1570568400,75,6.8026,-58.1629,82.65,7.07
253,Keti Bandar,PK,0,1570568400,73,24.1439,67.4511,83.48,14.97
254,Houma,CN,100,1570568400,79,35.6254,111.3627,54.68,13.53
255,Nishihara,JP,57,1570568400,41,35.7387,139.5312,69.3,19.91
256,San Patricio,PY,0,1570568400,58,-26.9767,-56.8274,76.53,3.83
257,Kodinar,IN,21,1570568400,75,20.7903,70.7031,77.88,6.22
258,Egvekinot,RU,51,1570568400,92,66.3167,-179.1667,23.45,10.83
259,Ukiah,US,68,1570568400,25,39.1502,-123.2078,77.85,7.83
260,Upernavik,GL,100,1570568400,56,72.7868,-56.1549,27.5,7.51
261,Hay River,CA,100,1570568400,69,60.8156,-115.7867,35.46,26.22
262,Mehran,IR,45,1570568400,25,33.1239,46.1659,84.62,2.86
263,Ilulissat,GL,30,1570568400,54,69.2167,-51.1,28.27,4.79
264,Port Lincoln,AU,100,1570568400,69,-34.7212,135.8592,51.73,8.69
265,Abu Samrah,SY,41,1570568400,39,35.3029,37.1841,70.74,5.26
266,Carauari,BR,35,1570568400,44,-4.8767,-66.8962,92.95,2.75
267,Nebug,RU,100,1570568400,94,44.1643,38.9989,44.4,7.16
268,Lima,PE,85,1570568400,87,-12.0622,-77.0366,63.48,11.83
269,Waipawa,NZ,0,1570568400,64,-39.9412,176.5913,61.39,3.06
270,Byron Bay,AU,31,1570568400,73,-28.65,153.6167,62.73,4.85
271,Praia,BR,100,1570568400,76,-20.2488,-43.8055,76.95,3.53
272,Bodmin,GB,18,1570568400,73,50.4707,-4.7244,56.29,22.82
273,Cap Malheureux,MU,16,1570568400,76,-19.9842,57.6142,73.1,22.95
274,Sitka,US,0,1570568400,33,37.175,-99.6516,77.56,25.37
275,Arman,RU,100,1570568400,83,59.7,150.1667,36.41,17.54
276,Salalah,OM,0,1570568400,79,17.0149,54.0957,79.86,1.95
277,Katsuura,JP,6,1570568400,91,33.9258,134.505,59.61,0.92
278,Miles City,US,5,1570568400,16,46.4085,-105.841,74.61,11.55
279,Kaeo,NZ,0,1570568400,69,-35.1018,173.7751,62.09,7.36
280,Espanola,CA,0,1570568400,54,46.2653,-81.7699,59.07,8.14
281,Dingle,PH,100,1570568400,86,11.0001,122.6718,73.94,3.06
282,Tazovskiy,RU,100,1570568400,81,67.4667,78.7,33.26,8.16
283,Novokruchininskiy,RU,91,1570568400,73,51.7833,113.7667,46.98,10.35
284,Klyuchi,RU,0,1570568400,69,52.2549,79.1714,51.57,5.75
285,Rome,IT,0,1570568400,64,41.8933,12.4829,60.23,2.57
286,Jimma,ET,40,1570568400,96,7.6741,36.8393,54.32,1.25
287,Loukhi,RU,100,1570568400,97,66.0764,33.0381,34.95,8.3
288,Barcelos,BR,100,1570568400,77,-0.973,-62.9257,81.45,5.5
289,Kisber,HU,99,1570568400,45,47.5029,18.0367,53.69,9.76
290,Santiago,PH,82,1570568400,97,16.6853,121.5409,69.91,1.14
291,Jalu,LY,0,1570568400,21,29.0331,21.5482,81.86,16.87
292,Tuktoyaktuk,CA,17,1570568400,72,69.444,-133.032,32.85,14.98
293,Vao,EE,100,1570568400,97,59.1018,26.1904,38.37,6.66
294,Saldanha,PT,0,1570568400,72,41.4184,-6.5524,64.91,6.18
295,Yarovoye,RU,0,1570568400,64,52.9197,78.5636,51.31,5.08
296,Imbituba,BR,100,1570568400,84,-28.24,-48.6703,69.67,0.92
297,Obo,CF,100,1570568400,94,5.3941,26.4927,70.09,1.5
298,Kruisfontein,ZA,0,1570568400,93,-34.0034,24.7314,55.58,4.99
299,Snezhnogorsk,RU,100,1570568400,82,69.1919,33.2324,39.19,24.09
300,Severnoye,RU,100,1570568400,63,54.0918,52.5416,40.75,4.18
301,Necochea,AR,0,1570568400,62,-38.5473,-58.7368,54.81,10.77
302,Touros,BR,0,1570568400,76,-5.1989,-35.4609,81.64,22.39
303,Meadow Lake,CA,100,1570568400,44,54.1303,-108.4351,36.51,10.02
304,Tuatapere,NZ,100,1570568400,89,-46.1324,167.6908,49.84,7.11
305,Gunjur,GM,100,1570568400,78,13.176,-16.7599,83.61,10.02
306,Nantucket,US,100,1570568400,72,41.2835,-70.0995,61.28,15.19
307,Nanortalik,GL,100,1570568400,94,60.1432,-45.2372,39.58,5.55
308,Coquimbo,CL,67,1570568400,82,-29.9532,-71.3381,60.13,5.57
309,Fort Collins,US,100,1570568400,6,40.5509,-105.0669,77.05,6.85
310,Sao Filipe,CV,0,1570568400,82,14.8961,-24.4956,75.58,14.22
311,Portland,US,100,1570568400,62,43.661,-70.2549,60.34,3.29
312,Wukari,NG,100,1570568400,93,7.8705,9.7776,75.18,3.96
313,Jaisalmer,IN,0,1570568400,30,26.9117,70.9125,84.56,3.58
314,Algiers,US,0,1570568400,56,29.9413,-90.0376,86.76,4.04
315,Dongsheng,CN,50,1570568400,85,29.7168,112.5229,60.78,3.51
316,Grand Gaube,MU,29,1570568400,75,-20.0064,57.6608,73.28,22.06
317,Maragogi,BR,23,1570568400,77,-9.0119,-35.2226,78.3,17.04
318,Batemans Bay,AU,34,1570568400,69,-35.7073,150.1783,49.13,4.65
319,Maniitsoq,GL,19,1570568400,48,65.4167,-52.9001,36.91,8.59
320,Iracoubo,GF,90,1570568400,81,5.4794,-53.2058,80.6,8.37
321,Vila Velha,BR,34,1570568400,75,-3.7125,-38.6045,77.64,11.32
322,Belle Glade,US,100,1570568400,59,26.6845,-80.6676,87.57,3.53
323,Lokosovo,RU,96,1570568400,85,61.1318,74.8396,39.47,11.68
324,Lanzhou,CN,100,1570568400,63,36.0593,103.8239,50.66,5.08
325,Kayes,ML,100,1570568400,59,14.4434,-11.438,86.55,7.72
326,Bograd,RU,95,1570568400,77,54.2181,90.856,46.78,7.27
327,Neuquen,AR,67,1570568400,9,-38.9517,-68.0591,73.44,18.18
328,Kamenka,MD,58,1570568400,58,48.0322,28.7042,45.33,11.27
329,Clyde River,CA,38,1570568400,80,70.4692,-68.5915,28.8,3.11
330,Yenagoa,NG,100,1570568400,97,4.9247,6.2642,72.79,1.16
331,Kenai,US,100,1570568400,78,60.5544,-151.2584,47.07,8.23
332,Port Keats,AU,69,1570568400,84,-14.25,129.55,77.41,3.29
333,Tual,ID,97,1570568400,83,-5.6667,132.75,78.78,16.8
334,Vardo,US,90,1570568400,58,39.6165,-77.7392,65.58,8.7
335,Nikolskoye,RU,75,1570568400,94,59.7035,30.7861,41.11,8.18
336,Rumoi,JP,100,1570568400,78,43.9294,141.6678,55.62,43.28
337,Forestville,CA,63,1570568400,65,48.7394,-69.0883,56.41,12.4
338,Miri,NG,100,1570568400,87,10.3127,9.7453,72.19,2.66
339,Klaksvik,FO,86,1570568400,93,62.2266,-6.5891,50.7,18.54
340,Eureka,US,21,1570568400,88,40.8021,-124.1637,60.8,20.74
341,Tezu,IN,100,1570568400,97,27.9254,96.1647,67.42,3.49
342,Broome,GB,0,1570568400,78,52.4688,1.4544,51.26,14.68
343,Sinnamary,GF,28,1570568400,80,5.3772,-52.9574,82.6,17.13
344,Ribeira Grande,PT,0,1570568400,66,38.5167,-28.7001,65.61,10.26
345,Arlit,NE,43,1570568400,22,18.7391,7.3933,95.31,15.08
346,Tocopilla,CL,0,1570568400,82,-22.092,-70.198,59.72,4.88
347,Araouane,ML,0,1570568400,10,18.9041,-3.5276,93.92,8.86
348,Carutapera,BR,100,1570568400,76,-1.2017,-46.0206,79.83,9.93
349,Vestmanna,FO,85,1570568400,92,62.1564,-7.1664,50.54,22.03
350,Comodoro Rivadavia,AR,67,1570568400,49,-45.8654,-67.4808,57.2,13.13
351,La Ferte-Bernard,FR,0,1570568400,94,48.1863,0.6536,50.68,6.02
352,Kavaratti,IN,24,1570568400,70,10.5669,72.642,82.49,4.07
353,Puerto Suarez,BO,38,1570568400,36,-18.9629,-57.7974,91.61,3.62
354,Lucea,JM,80,1570568400,76,18.4423,-78.1727,88.52,13.77
355,Tessalit,ML,14,1570568400,12,20.2009,1.014,91.71,9.9
356,Celestun,MX,100,1570568400,79,20.8667,-90.4001,81.73,14.9
357,Camacha,PT,100,1570568400,82,33.0833,-16.3334,72.55,16.49
